method,checkpoint_path,seed,alpha,test_accuracy,test_loss,nll,brier_score,ece_15_bins,adaptive_ece,mean_confidence,confidence_accuracy_gap,accuracy_drop_from_own_alpha0,accuracy_drop_from_clean_reference,relative_accuracy_drop,sample_count,elapsed_seconds,throughput_samples_per_second,peak_gpu_memory_mb
fixed_nat_seed_2026,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_2026\best.pt,42,-0.8,0.9339,1.7177834533691407,1.7177835702896118,0.12777143716812134,0.06256154924631119,0.06256157159805298,0.9964615702629089,0.06256157026290898,0.009000000000000008,,,10000,14.759224200155586,677.5423873495047,373.95556640625
fixed_nat_seed_2026,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_2026\best.pt,42,-0.6,0.935,1.2657895206451415,1.26578950881958,0.12340953946113586,0.06077374517917633,0.06077376753091812,0.9957737326622009,0.060773732662200874,0.007899999999999907,,,10000,14.653566899942234,682.4277029805911,373.95556640625
fixed_nat_seed_2026,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_2026\best.pt,42,-0.4,0.9369,0.9075047304153442,0.907504677772522,0.11765016615390778,0.05740701034665108,0.05740698426961899,0.9943069815635681,0.05740698156356816,0.006000000000000005,,,10000,14.477316400036216,690.735749891809,373.95556640625
fixed_nat_seed_2026,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_2026\best.pt,42,-0.2,0.9392,0.6322995100021362,0.6322994232177734,0.11071532964706421,0.053176648914813995,0.053176622837781906,0.9923766255378723,0.05317662553787228,0.0036999999999999256,,,10000,14.232764099957421,702.6042116464163,373.95556640625
fixed_nat_seed_2026,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_2026\best.pt,42,-0.1,0.9406,0.5222589694023132,0.5222589373588562,0.10674605518579483,0.05050947517156601,0.050487272441387177,0.9910872578620911,0.05048725786209107,0.0022999999999999687,,,10000,14.179083100054413,705.2642212077609,373.95556640625
fixed_nat_seed_2026,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_2026\best.pt,42,0.0,0.9429,0.4284361008644104,0.4284360706806183,0.10252989083528519,0.047180142253637314,0.04650228098034859,0.9894022345542908,0.04650223455429081,0.0,,,10000,14.283912200015038,700.0883133396376,373.95556640625
fixed_nat_seed_2026,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_2026\best.pt,42,0.1,0.944,0.34954158697128296,0.34954139590263367,0.09840504080057144,0.04337029159069061,0.04322580620646477,0.9872257709503174,0.04322577095031743,-0.0010999999999999899,,,10000,14.287057399982587,699.9341935878405,373.95556640625
fixed_nat_seed_2026,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_2026\best.pt,42,0.2,0.945,0.2845897566795349,0.28458958864212036,0.0942632183432579,0.038967233151197433,0.038967255502939224,0.9839671850204468,0.038967185020446826,-0.0020999999999999908,,,10000,14.180486100027338,705.1944432272122,373.95556640625
fixed_nat_seed_2026,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_2026\best.pt,42,0.4,0.9453,0.19564588847160339,0.19564592838287354,0.08578945696353912,0.025041038170456886,0.02474963106215,0.9700495600700378,0.024749560070037813,-0.0024000000000000687,,,10000,14.180184200173244,705.209457002528,373.95556640625
fixed_nat_seed_2026,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_2026\best.pt,42,0.6,0.9415,0.2196613796710968,0.2196613997220993,0.09078555554151535,0.05012692138552666,0.05004270747303963,0.8914573192596436,-0.05004268074035645,0.0013999999999999568,,,10000,14.15174340014346,706.6267185072496,373.95556640625
fixed_nat_seed_2026,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\fixed_nat\fixed_nat\seed_2026\best.pt,42,0.8,0.9136,0.856022061252594,0.8560221791267395,0.36202386021614075,0.43363645672798157,0.43363651633262634,0.4799634516239166,-0.43363654837608334,0.029299999999999993,,,10000,14.199402499943972,704.2549853798045,373.95556640625
