alpha,accuracy,loss,ece,mean_confidence,nll,brier
-0.8,0.9366,0.7850594689369201,0.05566531419754028,0.9922652840614319,0.7850594520568848,0.11791317909955978
-0.6,0.9387,0.5845907551765442,0.05212339758872986,0.9904618859291077,0.5845907330513,0.11205016821622849
-0.4,0.9404,0.42782444496154787,0.0478314645588398,0.9881188273429871,0.4278244078159332,0.10616479068994522
-0.2,0.9418,0.3087452576160431,0.042109835892915726,0.9837124943733215,0.3087450861930847,0.09983569383621216
-0.1,0.9421,0.2623572773933411,0.038284432142972946,0.9802612066268921,0.262357234954834,0.09650086611509323
0.0,0.9423,0.22520824103355408,0.032624777406454086,0.9746326208114624,0.22520820796489716,0.09322186559438705
0.1,0.9423,0.19920035076141357,0.022902855649590492,0.9649161696434021,0.1992003619670868,0.09034960716962814
0.2,0.9411,0.19038099994659424,0.0064521958120167255,0.9457810521125793,0.1903810203075409,0.08892379701137543
0.4,0.9358,0.3057113465309143,0.1187579408288002,0.8170419931411743,0.3057112395763397,0.11762389540672302
0.6,0.9123,0.8102851921081543,0.4145421087741852,0.4977816641330719,0.8102851510047913,0.34291183948516846
0.8,0.8161,1.4634931482315063,0.5537644028663635,0.26233547925949097,1.4634931087493896,0.6406058669090271
