method,checkpoint_path,seed,alpha,test_accuracy,test_loss,nll,brier_score,ece_15_bins,adaptive_ece,mean_confidence,confidence_accuracy_gap,accuracy_drop_from_own_alpha0,accuracy_drop_from_clean_reference,relative_accuracy_drop,sample_count,elapsed_seconds,throughput_samples_per_second,peak_gpu_memory_mb
random_nat,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\random_nat\random_nat\seed_42\best.pt,42,-0.8,0.9384,0.7104806515693665,0.7104806900024414,0.11424970626831055,0.053879547864198685,0.05375737324357033,0.9921573996543884,0.053757399654388416,0.0040999999999999925,0.0039000000000000146,0.004138809296402435,10000,14.815059500047937,674.9888517131938,375.58056640625
random_nat,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\random_nat\random_nat\seed_42\best.pt,42,-0.6,0.9397,0.5331522102355957,0.533152163028717,0.10964037477970123,0.050881046801805496,0.050880979746580124,0.9905810356140137,0.05088103561401369,0.0028000000000000247,0.0026000000000000467,0.0027592061976016626,10000,14.773124400060624,676.9048800508959,375.58056640625
random_nat,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\random_nat\random_nat\seed_42\best.pt,42,-0.4,0.9405,0.39357711153030395,0.39357703924179077,0.1041196659207344,0.047452330589294434,0.04731640964746475,0.9878163933753967,0.047316393375396726,0.0020000000000000018,0.0018000000000000238,0.0019102196752626805,10000,14.770451599964872,677.0273699704471,375.58056640625
random_nat,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\random_nat\random_nat\seed_42\best.pt,42,-0.2,0.9421,0.28757470207214353,0.28757452964782715,0.0977533757686615,0.040917977690696716,0.040866345167160034,0.9829657077789307,0.040865707778930616,0.00039999999999995595,0.00019999999999997797,0.0002122466305847161,10000,14.735905900131911,678.6145397352519,375.58056640625
random_nat,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\random_nat\random_nat\seed_42\best.pt,42,-0.1,0.9428,0.2467347743988037,0.24673473834991455,0.09460704028606415,0.03613411635160446,0.03613600507378578,0.9789339303970337,0.03613393039703372,-0.00029999999999996696,-0.0004999999999999449,-0.0005306165764617902,10000,14.86154600000009,672.8775054762095,375.58056640625
random_nat,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\random_nat\random_nat\seed_42\best.pt,42,0.0,0.9425,0.21477753624916077,0.21477751433849335,0.09169121831655502,0.03006798028945923,0.029971323907375336,0.9724671840667725,0.029967184066772456,0.0,-0.00019999999999997797,-0.0002122466305847161,10000,14.649468699935824,682.6186126493317,375.58056640625
random_nat,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\random_nat\random_nat\seed_42\best.pt,42,0.1,0.9412,0.19420311760902403,0.19420313835144043,0.0893481895327568,0.019972698763012886,0.020182929933071136,0.9611726403236389,0.01997264032363888,0.0012999999999999678,0.0010999999999999899,0.0011673564682160562,10000,14.727211199933663,679.0151824566109,375.58056640625
random_nat,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\random_nat\random_nat\seed_42\best.pt,42,0.2,0.9402,0.19241927843093873,0.19241930544376373,0.0890551283955574,0.006247380748391151,0.005807343404740095,0.9387452602386475,-0.0014547397613525748,0.0022999999999999687,0.0020999999999999908,0.0022285896211397547,10000,14.725299800047651,679.1033212082813,375.58056640625
random_nat,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\random_nat\random_nat\seed_42\best.pt,42,0.4,0.9346,0.3366669298171997,0.3366669714450836,0.12822945415973663,0.14219778776168823,0.14219775795936584,0.7924022078514099,-0.14219779214859007,0.007900000000000018,0.00770000000000004,0.008171495277512512,10000,14.821135000092909,674.7121593546859,375.58056640625
random_nat,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\random_nat\random_nat\seed_42\best.pt,42,0.6,0.9091,0.8692078213691712,0.8692077398300171,0.3719877004623413,0.4390236735343933,0.4389984607696533,0.47010156512260437,-0.43899843487739565,0.033399999999999985,0.03320000000000001,0.03523294067706676,10000,14.751527999993414,677.8958762783398,375.58056640625
random_nat,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\random_nat\random_nat\seed_42\best.pt,42,0.8,0.813,1.4989334421157836,1.4989333152770996,0.6550142168998718,0.5609978437423706,0.5609978437423706,0.252002090215683,-0.560997909784317,0.12950000000000006,0.12930000000000008,0.13721744667303415,10000,14.750920200021937,677.9238084404475,375.58056640625
