method,checkpoint_path,seed,alpha,test_accuracy,test_loss,nll,brier_score,ece_15_bins,adaptive_ece,mean_confidence,confidence_accuracy_gap,accuracy_drop_from_own_alpha0,accuracy_drop_from_clean_reference,relative_accuracy_drop,sample_count,elapsed_seconds,throughput_samples_per_second,peak_gpu_memory_mb
clean,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\baseline\seed_42\best.pt,42,-0.8,0.9366,0.7916119358062744,0.791611909866333,0.11797023564577103,0.05576541647315025,0.05576540529727936,0.9923654198646545,0.05576541986465455,0.005700000000000038,0.005700000000000038,0.006049028971665115,10000,14.979960100026801,667.558520398336,373.95556640625
clean,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\baseline\seed_42\best.pt,42,-0.6,0.9391,0.5884685312271118,0.5884685516357422,0.11209826171398163,0.052115973085165024,0.0514497347176075,0.9905498027801514,0.05144980278015132,0.0031999999999999806,0.0031999999999999806,0.003395946089355811,10000,14.88718119985424,671.7188341939379,373.95556640625
clean,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\baseline\seed_42\best.pt,42,-0.4,0.9403,0.4297742139816284,0.4297742247581482,0.10620103776454926,0.04796783998608589,0.04785669595003128,0.9881566166877747,0.047856616687774634,0.0020000000000000018,0.0020000000000000018,0.0021224663058473964,10000,14.765949200140312,677.2338076244347,373.95556640625
clean,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\baseline\seed_42\best.pt,42,-0.2,0.9418,0.3094734498977661,0.3094732463359833,0.09986084699630737,0.04214683175086975,0.041949156671762466,0.9837489724159241,0.0419489724159241,0.000500000000000056,0.000500000000000056,0.0005306165764619081,10000,14.804646600037813,675.4636074848594,373.95556640625
clean,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\baseline\seed_42\best.pt,42,-0.1,0.9422,0.2626601399898529,0.26266008615493774,0.0965147465467453,0.03821524977684021,0.03809371590614319,0.9802916646003723,0.03809166460037228,9.999999999998899e-05,9.999999999998899e-05,0.00010612331529235805,10000,14.605607199948281,684.6685566099169,373.95556640625
clean,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\baseline\seed_42\best.pt,42,0.0,0.9423,0.22520758633613586,0.22520753741264343,0.09322161972522736,0.03262504190206528,0.03235100209712982,0.9746328592300415,0.03233285923004148,0.0,0.0,0.0,10000,14.881114799994975,671.9926654959598,373.95556640625
clean,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\baseline\seed_42\best.pt,42,0.1,0.9423,0.1990617609500885,0.199061781167984,0.09033361077308655,0.022684194147586823,0.02268032357096672,0.9648120999336243,0.02251209993362424,0.0,0.0,0.0,10000,14.793946499936283,675.9521538112274,373.95556640625
clean,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\baseline\seed_42\best.pt,42,0.2,0.9411,0.19047388248443603,0.19047388434410095,0.08891798555850983,0.00624133599922061,0.006895839236676693,0.945315420627594,0.0042154206275939465,0.0011999999999999789,0.0011999999999999789,0.0012734797835084143,10000,14.964179300004616,668.2625087228749,373.95556640625
clean,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\baseline\seed_42\best.pt,42,0.4,0.9359,0.3109667643547058,0.31096675992012024,0.1191185861825943,0.12352398782968521,0.12352396547794342,0.8123759627342224,-0.12352403726577754,0.006400000000000072,0.006400000000000072,0.00679189217871174,10000,14.785757600096986,676.3265211337163,373.95556640625
clean,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\baseline\seed_42\best.pt,42,0.6,0.9113,0.8354855751037598,0.8354854583740234,0.35538962483406067,0.4267282783985138,0.42670372128486633,0.48459628224372864,-0.42670371775627136,0.031000000000000028,0.031000000000000028,0.032898227740634646,10000,14.813687999965623,675.051344406822,373.95556640625
clean,I:\比赛项目\存算一体高校挑战赛\ActCIM-Robust\results\baseline\seed_42\best.pt,42,0.8,0.8125,1.4970779397964478,1.4970780611038208,0.6547339558601379,0.5602450966835022,0.560245156288147,0.2522548735141754,-0.5602451264858246,0.12980000000000003,0.12980000000000003,0.13774806324949593,10000,14.73477580002509,678.6665868362227,373.95556640625
